PassengerId,pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
24,3,,"Mockler, Miss. Helen Mary ""Ellie""",female,,0,0,330980,7.8792,,Q,16,,
25,3,,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,F G73,S,,309,
26,3,,"Moor, Master. Meier",male,6,0,1,392096,12.475,E121,S,14,,
27,3,,"Moor, Mrs. (Beila)",female,27,0,1,392096,12.475,E121,S,14,,
28,3,,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S,,,
29,3,,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,16,,
30,3,,"Moran, Mr. Daniel J",male,,1,0,371110,24.15,,Q,,,
31,3,,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,,,
32,3,,"Morley, Mr. William",male,34,0,0,364506,8.05,,S,,,
33,3,,"Morrow, Mr. Thomas Rowan",male,,0,0,372622,7.75,,Q,,,
34,3,,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,B,,
35,3,,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,C,,
36,3,,"Moubarek, Master. Halim Gonios (""William George"")",male,,1,1,2661,15.2458,,C,C,,
37,3,,"Moubarek, Mrs. George (Omine ""Amenia"" Alexander)",female,,0,2,2661,15.2458,,C,C,,
38,3,,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0,2626,7.2292,,C,,,
39,3,,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,,,
40,3,,"Mullens, Miss. Katherine ""Katie""",female,,0,0,35852,7.7333,,Q,16,,
41,3,,"Mulvihill, Miss. Bertha E",female,24,0,0,382653,7.75,,Q,15,,
42,3,,"Murdlin, Mr. Joseph",male,,0,0,A./5. 3235,8.05,,S,,,
43,3,,"Murphy, Miss. Katherine ""Kate""",female,,1,0,367230,15.5,,Q,16,,
44,3,,"Murphy, Miss. Margaret Jane",female,,1,0,367230,15.5,,Q,16,,
45,3,,"Murphy, Miss. Nora",female,,0,0,36568,15.5,,Q,16,,
46,3,,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",male,18,0,0,347078,7.75,,S,,,
47,3,,"Naidenoff, Mr. Penko",male,22,0,0,349206,7.8958,,S,,,
48,3,,"Najib, Miss. Adele Kiamie ""Jane""",female,15,0,0,2667,7.225,,C,C,,
49,3,,"Nakid, Miss. Maria (""Mary"")",female,1,0,2,2653,15.7417,,C,C,,
50,3,,"Nakid, Mr. Sahid",male,20,1,1,2653,15.7417,,C,C,,
51,3,,"Nakid, Mrs. Said (Waika ""Mary"" Mowad)",female,19,1,1,2653,15.7417,,C,C,,
52,3,,"Nancarrow, Mr. William Henry",male,33,0,0,A./5. 3338,8.05,,S,,,
53,3,,"Nankoff, Mr. Minko",male,,0,0,349218,7.8958,,S,,,
54,3,,"Nasr, Mr. Mustafa",male,,0,0,2652,7.2292,,C,,,
55,3,,"Naughton, Miss. Hannah",female,,0,0,365237,7.75,,Q,,,
56,3,,"Nenkoff, Mr. Christo",male,,0,0,349234,7.8958,,S,,,
57,3,,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,,C,C,,
58,3,,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,,C,C,,
59,3,,"Nieminen, Miss. Manta Josefina",female,29,0,0,3101297,7.925,,S,,,
60,3,,"Niklasson, Mr. Samuel",male,28,0,0,363611,8.05,,S,,,
61,3,,"Nilsson, Miss. Berta Olivia",female,18,0,0,347066,7.775,,S,D,,
62,3,,"Nilsson, Miss. Helmina Josefina",female,26,0,0,347470,7.8542,,S,13,,
63,3,,"Nilsson, Mr. August Ferdinand",male,21,0,0,350410,7.8542,,S,,,
64,3,,"Nirva, Mr. Iisakki Antino Aijo",male,41,0,0,SOTON/O2 3101272,7.125,,S,,,"Finland Sudbury, ON"
65,3,,"Niskanen, Mr. Juha",male,39,0,0,STON/O 2. 3101289,7.925,,S,9,,
66,3,,"Nosworthy, Mr. Richard Cater",male,21,0,0,A/4. 39886,7.8,,S,,,
67,3,,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,,181,
68,3,,"Nysten, Miss. Anna Sofia",female,22,0,0,347081,7.75,,S,13,,
69,3,,"Nysveen, Mr. Johan Hansen",male,61,0,0,345364,6.2375,,S,,,
70,3,,"O'Brien, Mr. Thomas",male,,1,0,370365,15.5,,Q,,,
71,3,,"O'Brien, Mr. Timothy",male,,0,0,330979,7.8292,,Q,,,
72,3,,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365,15.5,,Q,,,
73,3,,"O'Connell, Mr. Patrick D",male,,0,0,334912,7.7333,,Q,,,
74,3,,"O'Connor, Mr. Maurice",male,,0,0,371060,7.75,,Q,,,
75,3,,"O'Connor, Mr. Patrick",male,,0,0,366713,7.75,,Q,,,
76,3,,"Odahl, Mr. Nils Martin",male,23,0,0,7267,9.225,,S,,,
77,3,,"O'Donoghue, Ms. Bridget",female,,0,0,364856,7.75,,Q,,,
78,3,,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,D,,
79,3,,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q,,,
80,3,,"Ohman, Miss. Velin",female,22,0,0,347085,7.775,,S,C,,
81,3,,"O'Keefe, Mr. Patrick",male,,0,0,368402,7.75,,Q,B,,
82,3,,"O'Leary, Miss. Hanora ""Norah""",female,,0,0,330919,7.8292,,Q,13,,
83,3,,"Olsen, Master. Artur Karl",male,9,0,1,C 17368,3.1708,,S,13,,
84,3,,"Olsen, Mr. Henry Margido",male,28,0,0,C 4001,22.525,,S,,173,
85,3,,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,4579,8.4042,,S,,,
86,3,,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,,S,,,
87,3,,"Olsson, Miss. Elina",female,31,0,0,350407,7.8542,,S,,,
88,3,,"Olsson, Mr. Nils Johan Goransson",male,28,0,0,347464,7.8542,,S,,,
89,3,,"Olsson, Mr. Oscar Wilhelm",male,32,0,0,347079,7.775,,S,A,,
90,3,,"Olsvigen, Mr. Thor Anderson",male,20,0,0,6563,9.225,,S,,89,"Oslo, Norway Cameron, WI"
91,3,,"Oreskovic, Miss. Jelka",female,23,0,0,315085,8.6625,,S,,,
92,3,,"Oreskovic, Miss. Marija",female,20,0,0,315096,8.6625,,S,,,
93,3,,"Oreskovic, Mr. Luka",male,20,0,0,315094,8.6625,,S,,,
94,3,,"Osen, Mr. Olaf Elon",male,16,0,0,7534,9.2167,,S,,,
95,3,,"Osman, Mrs. Mara",female,31,0,0,349244,8.6833,,S,,,
96,3,,"O'Sullivan, Miss. Bridget Mary",female,,0,0,330909,7.6292,,Q,,,
97,3,,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,,S,,4,
98,3,,"Palsson, Master. Paul Folke",male,6,3,1,349909,21.075,,S,,,
99,3,,"Palsson, Miss. Stina Viola",female,3,3,1,349909,21.075,,S,,,
100,3,,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,,S,,,
101,3,,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29,0,4,349909,21.075,,S,,206,
102,3,,"Panula, Master. Eino Viljami",male,1,4,1,3101295,39.6875,,S,,,
103,3,,"Panula, Master. Juha Niilo",male,7,4,1,3101295,39.6875,,S,,,
104,3,,"Panula, Master. Urho Abraham",male,2,4,1,3101295,39.6875,,S,,,
105,3,,"Panula, Mr. Ernesti Arvid",male,16,4,1,3101295,39.6875,,S,,,
106,3,,"Panula, Mr. Jaako Arnold",male,14,4,1,3101295,39.6875,,S,,,
107,3,,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41,0,5,3101295,39.6875,,S,,,
108,3,,"Pasic, Mr. Jakob",male,21,0,0,315097,8.6625,,S,,,
109,3,,"Patchett, Mr. George",male,19,0,0,358585,14.5,,S,,,
110,3,,"Paulner, Mr. Uscher",male,,0,0,3411,8.7125,,C,,,
111,3,,"Pavlovic, Mr. Stefo",male,32,0,0,349242,7.8958,,S,,,
112,3,,"Peacock, Master. Alfred Edward",male,0.75,1,1,SOTON/O.Q. 3101315,13.775,,S,,,
113,3,,"Peacock, Miss. Treasteall",female,3,1,1,SOTON/O.Q. 3101315,13.775,,S,,,
114,3,,"Peacock, Mrs. Benjamin (Edith Nile)",female,26,0,2,SOTON/O.Q. 3101315,13.775,,S,,,
115,3,,"Pearce, Mr. Ernest",male,,0,0,343271,7,,S,,,
116,3,,"Pedersen, Mr. Olaf",male,,0,0,345498,7.775,,S,,,
117,3,,"Peduzzi, Mr. Joseph",male,,0,0,A/5 2817,8.05,,S,,,
118,3,,"Pekoniemi, Mr. Edvard",male,21,0,0,STON/O 2. 3101294,7.925,,S,,,
119,3,,"Peltomaki, Mr. Nikolai Johannes",male,25,0,0,STON/O 2. 3101291,7.925,,S,,,
120,3,,"Perkin, Mr. John Henry",male,22,0,0,A/5 21174,7.25,,S,,,
121,3,,"Persson, Mr. Ernst Ulrik",male,25,1,0,347083,7.775,,S,15,,
122,3,,"Peter, Master. Michael J",male,,1,1,2668,22.3583,,C,C,,
123,3,,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,D,,
124,3,,"Peter, Mrs. Catherine (Catherine Rizk)",female,,0,2,2668,22.3583,,C,D,,
125,3,,"Peters, Miss. Katie",female,,0,0,330935,8.1375,,Q,,,
126,3,,"Petersen, Mr. Marius",male,24,0,0,342441,8.05,,S,,,
127,3,,"Petranec, Miss. Matilda",female,28,0,0,349245,7.8958,,S,,,
128,3,,"Petroff, Mr. Nedelio",male,19,0,0,349212,7.8958,,S,,,
129,3,,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,,,
130,3,,"Petterson, Mr. Johan Emil",male,25,1,0,347076,7.775,,S,,,
131,3,,"Pettersson, Miss. Ellen Natalia",female,18,0,0,347087,7.775,,S,,,
132,3,,"Pickard, Mr. Berk (Berk Trembisky)",male,32,0,0,SOTON/O.Q. 392078,8.05,E10,S,9,,
133,3,,"Plotcharsky, Mr. Vasil",male,,0,0,349227,7.8958,,S,,,
134,3,,"Pokrnic, Mr. Mate",male,17,0,0,315095,8.6625,,S,,,
135,3,,"Pokrnic, Mr. Tome",male,24,0,0,315092,8.6625,,S,,,
136,3,,"Radeff, Mr. Alexander",male,,0,0,349223,7.8958,,S,,,
137,3,,"Rasmussen, Mrs. (Lena Jacobsen Solvang)",female,,0,0,65305,8.1125,,S,,,
138,3,,"Razi, Mr. Raihed",male,,0,0,2629,7.2292,,C,,,
139,3,,"Reed, Mr. James George",male,,0,0,362316,7.25,,S,,,
140,3,,"Rekic, Mr. Tido",male,38,0,0,349249,7.8958,,S,,,
141,3,,"Reynolds, Mr. Harold J",male,21,0,0,342684,8.05,,S,,,
142,3,,"Rice, Master. Albert",male,10,4,1,382652,29.125,,Q,,,
143,3,,"Rice, Master. Arthur",male,4,4,1,382652,29.125,,Q,,,
144,3,,"Rice, Master. Eric",male,7,4,1,382652,29.125,,Q,,,
145,3,,"Rice, Master. Eugene",male,2,4,1,382652,29.125,,Q,,,
146,3,,"Rice, Master. George Hugh",male,8,4,1,382652,29.125,,Q,,,
147,3,,"Rice, Mrs. William (Margaret Norton)",female,39,0,5,382652,29.125,,Q,,327,
148,3,,"Riihivouri, Miss. Susanna Juhantytar ""Sanni""",female,22,0,0,3101295,39.6875,,S,,,
149,3,,"Rintamaki, Mr. Matti",male,35,0,0,STON/O 2. 3101273,7.125,,S,,,
150,3,,"Riordan, Miss. Johanna ""Hannah""",female,,0,0,334915,7.7208,,Q,13,,
151,3,,"Risien, Mr. Samuel Beard",male,,0,0,364498,14.5,,S,,,
152,3,,"Risien, Mrs. Samuel (Emma)",female,,0,0,364498,14.5,,S,,,
153,3,,"Robins, Mr. Alexander A",male,50,1,0,A/5. 3337,14.5,,S,,119,
154,3,,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,A/5. 3337,14.5,,S,,7,
155,3,,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,,,
156,3,,"Rommetvedt, Mr. Knud Paust",male,,0,0,312993,7.775,,S,,,
157,3,,"Rosblom, Miss. Salli Helena",female,2,1,1,370129,20.2125,,S,,,
158,3,,"Rosblom, Mr. Viktor Richard",male,18,1,1,370129,20.2125,,S,,,
159,3,,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2,370129,20.2125,,S,,,
160,3,,"Roth, Miss. Sarah A",female,,0,0,342712,8.05,,S,C,,
161,3,,"Rouse, Mr. Richard Henry",male,50,0,0,A/5 3594,8.05,,S,,,
162,3,,"Rush, Mr. Alfred George John",male,16,0,0,A/4. 20589,8.05,,S,,,
163,3,,"Ryan, Mr. Edward",male,,0,0,383162,7.75,,Q,14,,
164,3,,"Ryan, Mr. Patrick",male,,0,0,371110,24.15,,Q,,,
165,3,,"Saad, Mr. Amin",male,,0,0,2671,7.2292,,C,,,
166,3,,"Saad, Mr. Khalil",male,25,0,0,2672,7.225,,C,,,
167,3,,"Saade, Mr. Jean Nassr",male,,0,0,2676,7.225,,C,,,
168,3,,"Sadlier, Mr. Matthew",male,,0,0,367655,7.7292,,Q,,,
169,3,,"Sadowitz, Mr. Harry",male,,0,0,LP 1588,7.575,,S,,,
170,3,,"Saether, Mr. Simon Sivertsen",male,38.5,0,0,SOTON/O.Q. 3101262,7.25,,S,,32,
171,3,,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S,,,
172,3,,"Sage, Master. William Henry",male,14.5,8,2,CA. 2343,69.55,,S,,67,
173,3,,"Sage, Miss. Ada",female,,8,2,CA. 2343,69.55,,S,,,
174,3,,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,,S,,,
175,3,,"Sage, Miss. Dorothy Edith ""Dolly""",female,,8,2,CA. 2343,69.55,,S,,,
176,3,,"Sage, Miss. Stella Anna",female,,8,2,CA. 2343,69.55,,S,,,
177,3,,"Sage, Mr. Douglas Bullen",male,,8,2,CA. 2343,69.55,,S,,,
178,3,,"Sage, Mr. Frederick",male,,8,2,CA. 2343,69.55,,S,,,
179,3,,"Sage, Mr. George John Jr",male,,8,2,CA. 2343,69.55,,S,,,
180,3,,"Sage, Mr. John George",male,,1,9,CA. 2343,69.55,,S,,,
181,3,,"Sage, Mrs. John (Annie Bullen)",female,,1,9,CA. 2343,69.55,,S,,,
182,3,,"Salander, Mr. Karl Johan",male,24,0,0,7266,9.325,,S,,,
183,3,,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,,S,C,,
184,3,,"Salonen, Mr. Johan Werner",male,39,0,0,3101296,7.925,,S,,,
185,3,,"Samaan, Mr. Elias",male,,2,0,2662,21.6792,,C,,,
186,3,,"Samaan, Mr. Hanna",male,,2,0,2662,21.6792,,C,,,
187,3,,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,,,
188,3,,"Sandstrom, Miss. Beatrice Irene",female,1,1,1,PP 9549,16.7,G6,S,13,,
189,3,,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,0,2,PP 9549,16.7,G6,S,13,,
190,3,,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,G6,S,13,,
191,3,,"Sap, Mr. Julius",male,25,0,0,345768,9.5,,S,11,,
192,3,,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,,S,,,
193,3,,"Sawyer, Mr. Frederick Charles",male,24.5,0,0,342826,8.05,,S,,284,
194,3,,"Scanlan, Mr. James",male,,0,0,36209,7.725,,Q,,,
195,3,,"Sdycoff, Mr. Todor",male,,0,0,349222,7.8958,,S,,,
196,3,,"Shaughnessy, Mr. Patrick",male,,0,0,370374,7.75,,Q,,,
197,3,,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,9.5,,S,11,,
198,3,,"Shellard, Mr. Frederick William",male,,0,0,C.A. 6212,15.1,,S,,,
199,3,,"Shine, Miss. Ellen Natalia",female,,0,0,330968,7.7792,,Q,,,
200,3,,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,,,
201,3,,"Simmons, Mr. John",male,,0,0,SOTON/OQ 392082,8.05,,S,,,
202,3,,"Sirayanian, Mr. Orsen",male,22,0,0,2669,7.2292,,C,,,
203,3,,"Sirota, Mr. Maurice",male,,0,0,392092,8.05,,S,,,
204,3,,"Sivic, Mr. Husein",male,40,0,0,349251,7.8958,,S,,,
205,3,,"Sivola, Mr. Antti Wilhelm",male,21,0,0,STON/O 2. 3101280,7.925,,S,,,
206,3,,"Sjoblom, Miss. Anna Sofia",female,18,0,0,3101265,7.4958,,S,16,,
207,3,,"Skoog, Master. Harald",male,4,3,2,347088,27.9,,S,,,
208,3,,"Skoog, Master. Karl Thorsten",male,10,3,2,347088,27.9,,S,,,
209,3,,"Skoog, Miss. Mabel",female,9,3,2,347088,27.9,,S,,,
210,3,,"Skoog, Miss. Margit Elizabeth",female,2,3,2,347088,27.9,,S,,,
211,3,,"Skoog, Mr. Wilhelm",male,40,1,4,347088,27.9,,S,,,
212,3,,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,347088,27.9,,S,,,
213,3,,"Slabenoff, Mr. Petco",male,,0,0,349214,7.8958,,S,,,
214,3,,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,,,
215,3,,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S,,,
216,3,,"Smith, Mr. Thomas",male,,0,0,384461,7.75,,Q,,,
217,3,,"Smyth, Miss. Julia",female,,0,0,335432,7.7333,,Q,13,,
218,3,,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,19,0,0,348124,7.65,F G73,S,,,
219,3,,"Somerton, Mr. Francis William",male,30,0,0,A.5. 18509,8.05,,S,,,
220,3,,"Spector, Mr. Woolf",male,,0,0,A.5. 3236,8.05,,S,,,
221,3,,"Spinner, Mr. Henry John",male,32,0,0,STON/OQ. 369943,8.05,,S,,,
222,3,,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,,,
223,3,,"Stankovic, Mr. Ivan",male,33,0,0,349239,8.6625,,C,,,
224,3,,"Stanley, Miss. Amy Zillah Elsie",female,23,0,0,CA. 2314,7.55,,S,C,,
225,3,,"Stanley, Mr. Edward Roland",male,21,0,0,A/4 45380,8.05,,S,,,
226,3,,"Storey, Mr. Thomas",male,60.5,0,0,3701,,,S,,261,
227,3,,"Stoytcheff, Mr. Ilia",male,19,0,0,349205,7.8958,,S,,,
228,3,,"Strandberg, Miss. Ida Sofia",female,22,0,0,7553,9.8375,,S,,,
229,3,,"Stranden, Mr. Juho",male,31,0,0,STON/O 2. 3101288,7.925,,S,9,,
230,3,,"Strilic, Mr. Ivan",male,27,0,0,315083,8.6625,,S,,,
231,3,,"Strom, Miss. Telma Matilda",female,2,0,1,347054,10.4625,G6,S,,,
232,3,,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,347054,10.4625,G6,S,,,
233,3,,"Sunderland, Mr. Victor Francis",male,16,0,0,SOTON/OQ 392089,8.05,,S,B,,
234,3,,"Sundman, Mr. Johan Julian",male,44,0,0,STON/O 2. 3101269,7.925,,S,15,,
235,3,,"Sutehall, Mr. Henry Jr",male,25,0,0,SOTON/OQ 392076,7.05,,S,,,
236,3,,"Svensson, Mr. Johan",male,74,0,0,347060,7.775,,S,,,
237,3,,"Svensson, Mr. Johan Cervin",male,14,0,0,7538,9.225,,S,13,,
238,3,,"Svensson, Mr. Olof",male,24,0,0,350035,7.7958,,S,,,
239,3,,"Tenglin, Mr. Gunnar Isidor",male,25,0,0,350033,7.7958,,S,13 15,,
240,3,,"Theobald, Mr. Thomas Leonard",male,34,0,0,363294,8.05,,S,,176,
241,3,,"Thomas, Master. Assad Alexander",male,0.4167,0,1,2625,8.5167,,C,16,,
242,3,,"Thomas, Mr. Charles P",male,,1,0,2621,6.4375,,C,,,
243,3,,"Thomas, Mr. John",male,,0,0,2681,6.4375,,C,,,
244,3,,"Thomas, Mr. Tannous",male,,0,0,2684,7.225,,C,,,
245,3,,"Thomas, Mrs. Alexander (Thamine ""Thelma"")",female,16,1,1,2625,8.5167,,C,14,,
246,3,,"Thomson, Mr. Alexander Morrison",male,,0,0,32302,8.05,,S,,,
247,3,,"Thorneycroft, Mr. Percival",male,,1,0,376564,16.1,,S,,,
248,3,,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,,1,0,376564,16.1,,S,10,,
249,3,,"Tikkanen, Mr. Juho",male,32,0,0,STON/O 2. 3101293,7.925,,S,,,
250,3,,"Tobin, Mr. Roger",male,,0,0,383121,7.75,F38,Q,,,
251,3,,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,,,
252,3,,"Tomlin, Mr. Ernest Portage",male,30.5,0,0,364499,8.05,,S,,50,
253,3,,"Torber, Mr. Ernst William",male,44,0,0,364511,8.05,,S,,,
254,3,,"Torfa, Mr. Assad",male,,0,0,2673,7.2292,,C,,,
255,3,,"Tornquist, Mr. William Henry",male,25,0,0,LINE,0,,S,15,,
256,3,,"Toufik, Mr. Nakli",male,,0,0,2641,7.2292,,C,,,
257,3,,"Touma, Master. Georges Youssef",male,7,1,1,2650,15.2458,,C,C,,
258,3,,"Touma, Miss. Maria Youssef",female,9,1,1,2650,15.2458,,C,C,,
259,3,,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,2650,15.2458,,C,C,,
260,3,,"Turcin, Mr. Stjepan",male,36,0,0,349247,7.8958,,S,,,
261,3,,"Turja, Miss. Anna Sofia",female,18,0,0,4138,9.8417,,S,15,,
262,3,,"Turkula, Mrs. (Hedwig)",female,63,0,0,4134,9.5875,,S,15,,
263,3,,"van Billiard, Master. James William",male,,1,1,A/5. 851,14.5,,S,,,
264,3,,"van Billiard, Master. Walter John",male,11.5,1,1,A/5. 851,14.5,,S,,1,
265,3,,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S,,255,
266,3,,"Van Impe, Miss. Catharina",female,10,0,2,345773,24.15,,S,,,
267,3,,"Van Impe, Mr. Jean Baptiste",male,36,1,1,345773,24.15,,S,,,
268,3,,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",female,30,1,1,345773,24.15,,S,,,
269,3,,"van Melkebeke, Mr. Philemon",male,,0,0,345777,9.5,,S,,,
270,3,,"Vande Velde, Mr. Johannes Joseph",male,33,0,0,345780,9.5,,S,,,
271,3,,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,345770,9.5,,S,,,
272,3,,"Vanden Steen, Mr. Leo Peter",male,28,0,0,345783,9.5,,S,,,
273,3,,"Vander Cruyssen, Mr. Victor",male,47,0,0,345765,9,,S,,,
274,3,,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,,S,,,
275,3,,"Vander Planke, Mr. Julius",male,31,3,0,345763,18,,S,,,
276,3,,"Vander Planke, Mr. Leo Edmondus",male,16,2,0,345764,18,,S,,,
277,3,,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,S,,,
278,3,,"Vartanian, Mr. David",male,22,0,0,2658,7.225,,C,13 15,,
279,3,,"Vendel, Mr. Olof Edvin",male,20,0,0,350416,7.8542,,S,,,
280,3,,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,,S,,,
281,3,,"Vovk, Mr. Janko",male,22,0,0,349252,7.8958,,S,,,
282,3,,"Waelens, Mr. Achille",male,22,0,0,345767,9,,S,,,"Antwerp, Belgium / Stanton, OH"
283,3,,"Ware, Mr. Frederick",male,,0,0,359309,8.05,,S,,,
284,3,,"Warren, Mr. Charles William",male,,0,0,C.A. 49867,7.55,,S,,,
285,3,,"Webber, Mr. James",male,,0,0,SOTON/OQ 3101316,8.05,,S,,,
286,3,,"Wenzel, Mr. Linhart",male,32.5,0,0,345775,9.5,,S,,298,
287,3,,"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)",female,38,0,0,2688,7.2292,,C,C,,
288,3,,"Widegren, Mr. Carl/Charles Peter",male,51,0,0,347064,7.75,,S,,,
289,3,,"Wiklund, Mr. Jakob Alfred",male,18,1,0,3101267,6.4958,,S,,314,
290,3,,"Wiklund, Mr. Karl Johan",male,21,1,0,3101266,6.4958,,S,,,
291,3,,"Wilkes, Mrs. James (Ellen Needs)",female,47,1,0,363272,7,,S,,,
292,3,,"Willer, Mr. Aaron (""Abi Weller"")",male,,0,0,3410,8.7125,,S,,,
293,3,,"Willey, Mr. Edward",male,,0,0,S.O./P.P. 751,7.55,,S,,,
294,3,,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0,A/5 2466,8.05,,S,,,
295,3,,"Williams, Mr. Leslie",male,28.5,0,0,54636,16.1,,S,,14,
296,3,,"Windelov, Mr. Einar",male,21,0,0,SOTON/OQ 3101317,7.25,,S,,,
297,3,,"Wirz, Mr. Albert",male,27,0,0,315154,8.6625,,S,,131,
298,3,,"Wiseman, Mr. Phillippe",male,,0,0,A/4. 34244,7.25,,S,,,
299,3,,"Wittevrongel, Mr. Camille",male,36,0,0,345771,9.5,,S,,,
300,3,,"Yasbeck, Mr. Antoni",male,27,1,0,2659,14.4542,,C,C,,
301,3,,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15,1,0,2659,14.4542,,C,,,
302,3,,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C,,312,
